Shop,Date,# Complaints Received,% Orders Shipped in 3 days,% Orders Shipped in 5 days,% Returns Processed in 3 days,% Returns Processed in 5 days,Target - # Complaints Received,Target - % Orders Shipped in 3 days,Target - % Orders Shipped in 5 days,Target - % Returns Processed in 3 days,Target - % Returns Processed in 5 days
Bath,01/07/2021,25.0,0.91,0.99,0.88,0.91,0.0,0.9500000000000001,0.99,0.8,0.9500000000000001
Bath,01/08/2021,6.0,0.88,0.94,0.83,0.85,0.0,0.9500000000000001,0.99,0.8,0.9500000000000001
Bath,01/09/2021,10.0,0.85,0.95,0.89,0.91,0.0,0.9500000000000001,0.99,0.8,0.9500000000000001
Bath,01/10/2021,28.0,0.87,0.89,0.75,0.85,0.0,0.9500000000000001,0.99,0.8,0.9500000000000001
Bath,01/11/2021,11.0,0.86,0.91,0.77,0.79,0.0,0.9500000000000001,0.99,0.8,0.9500000000000001
Bath,01/12/2021,13.0,0.86,0.86,0.84,0.9099999999999999,0.0,0.9500000000000001,0.99,0.8,0.9500000000000001
Bath,01/01/2022,9.0,0.88,0.96,0.67,0.7000000000000001,0.0,0.9500000000000001,0.99,0.8,0.9500000000000001
Bath,01/02/2022,3.0,0.8,0.8,0.67,0.76,0.0,0.9500000000000001,0.99,0.8,0.9500000000000001
Bath,01/03/2022,14.0,0.92,0.9400000000000001,0.99,1.0,0.0,0.9500000000000001,0.99,0.8,0.9500000000000001
Bath,01/04/2022,33.0,0.94,1.0,0.97,1.0,0.0,0.9500000000000001,0.99,0.8,0.9500000000000001
Bristol,01/07/2021,9.0,0.88,0.91,0.8,0.8500000000000001,0.0,0.9500000000000001,0.99,0.8,0.9500000000000001
Bristol,01/08/2021,14.0,0.83,0.84,0.74,0.79,0.0,0.9500000000000001,0.99,0.8,0.9500000000000001
Bristol,01/09/2021,11.0,1.0,1.0,0.99,1.0,0.0,0.9500000000000001,0.99,0.8,0.9500000000000001
Bristol,01/10/2021,3.0,0.88,0.91,1.0,1.0,0.0,0.9500000000000001,0.99,0.8,0.9500000000000001
Bristol,01/11/2021,4.0,0.94,0.99,0.88,0.93,0.0,0.9500000000000001,0.99,0.8,0.9500000000000001
Bristol,01/12/2021,4.0,0.88,0.98,0.79,0.8600000000000001,0.0,0.9500000000000001,0.99,0.8,0.9500000000000001
Bristol,01/01/2022,18.0,0.91,0.97,0.94,1.0,0.0,0.9500000000000001,0.99,0.8,0.9500000000000001
Bristol,01/02/2022,83.0,0.81,0.81,0.88,0.94,0.0,0.9500000000000001,0.99,0.8,0.9500000000000001
Bristol,01/03/2022,20.0,0.83,0.9099999999999999,0.92,1.0,0.0,0.9500000000000001,0.99,0.8,0.9500000000000001
