candidate_id,position_id,status,ts,filename
5,2,Profile Created,19/01/2021 11:56:13,status_history_2021-02-13_03-21-00.csv
5,2,Application Completed,07/02/2021 12:17:53,status_history_2021-02-13_03-21-00.csv
5,2,Application Reviewed,12/02/2021 11:28:56,status_history_2021-02-13_03-21-00.csv
5,2,Application Terminated,12/02/2021 12:25:41,status_history_2021-02-13_03-21-00.csv
140,2,Profile Created,20/01/2021 12:14:51,status_history_2021-02-13_03-21-00.csv
140,2,Application Completed,07/02/2021 11:54:10,status_history_2021-02-13_03-21-00.csv
140,2,Candidate Withdrew,12/02/2021 11:46:27,status_history_2021-02-13_03-21-00.csv
162,2,Profile Created,12/01/2021 12:25:14,status_history_2021-02-13_03-21-00.csv
162,2,Application Completed,05/02/2021 12:12:59,status_history_2021-02-13_03-21-00.csv
162,2,Application Reviewed,08/02/2021 12:32:28,status_history_2021-02-13_03-21-00.csv
162,2,Application Terminated,12/02/2021 12:06:34,status_history_2021-02-13_03-21-00.csv
59,2,Profile Created,30/01/2021 12:20:04,status.history.resend.2021-02-14_03-01-00.csv
59,2,Application Completed,03/02/2021 12:48:44,status.history.resend.2021-02-14_03-01-00.csv
59,2,Application Reviewed,12/02/2021 12:09:38,status.history.resend.2021-02-14_03-01-00.csv
59,2,Application Terminated,13/02/2021 11:23:39,status.history.resend.2021-02-14_03-01-00.csv
193,2,Profile Created,02/02/2021 12:01:48,status.history.resend.2021-02-14_03-01-00.csv
193,2,Application Completed,07/02/2021 10:52:12,status.history.resend.2021-02-14_03-01-00.csv
193,2,Application Reviewed,12/02/2021 10:59:25,status.history.resend.2021-02-14_03-01-00.csv
193,2,Application Terminated,13/02/2021 11:33:23,status.history.resend.2021-02-14_03-01-00.csv
173,2,Profile Created,01/02/2021 12:29:42,status.history.resend.2021-02-14_03-01-00.csv
173,2,Application Completed,03/02/2021 11:05:23,status.history.resend.2021-02-14_03-01-00.csv
173,2,Application Reviewed,09/02/2021 11:14:21,status.history.resend.2021-02-14_03-01-00.csv
173,2,Application Terminated,13/02/2021 11:48:44,status.history.resend.2021-02-14_03-01-00.csv
39,1,Profile Created,22/01/2021 11:16:57,status_history_2021-02-18_03-17-00.csv
39,1,Application Completed,07/02/2021 12:03:40,status_history_2021-02-18_03-17-00.csv
