dc_nbr,month_end_date,employee_id,guid,hire_date,leave_date
1,30/04/2018,E00555,3ffe5abe-8b42-4c82-8464-ed8159f68dcc,22/04/2018,
1,30/04/2018,E00143,e062c7aa-159e-4caa-be7e-e63b283ad489,24/04/2018,
1,30/04/2018,E01024,a129f770-ea7e-47aa-b561-818a9331883b,26/04/2018,
1,30/04/2018,E00939,f799ab3c-7b3b-458f-bc62-d24f4269b967,13/04/2018,
1,30/04/2018,E00535,6f1e1bfe-0d58-4809-8410-bb8de79335e5,30/04/2018,
1,30/04/2018,,e8c0c2f5-7772-441b-bd16-2964367257cc,10/04/2018,
1,30/04/2018,E00720,b0bff9a8-a4d6-4350-abd7-226f080eca22,10/04/2018,
1,30/04/2018,E00077,,02/04/2018,
1,30/04/2018,E00677,9ee2b9fa-d330-4fe6-b90d-533724b95fb9,13/04/2018,
1,31/05/2018,E00555,3ffe5abe-8b42-4c82-8464-ed8159f68dcc,22/04/2018,
1,31/05/2018,E00143,e062c7aa-159e-4caa-be7e-e63b283ad489,24/04/2018,
1,31/05/2018,E01024,a129f770-ea7e-47aa-b561-818a9331883b,26/04/2018,
1,31/05/2018,E00939,f799ab3c-7b3b-458f-bc62-d24f4269b967,13/04/2018,
1,31/05/2018,E00535,6f1e1bfe-0d58-4809-8410-bb8de79335e5,30/04/2018,
1,31/05/2018,,e8c0c2f5-7772-441b-bd16-2964367257cc,10/04/2018,
1,31/05/2018,E00720,b0bff9a8-a4d6-4350-abd7-226f080eca22,10/04/2018,
1,31/05/2018,E00077,,02/04/2018,
1,31/05/2018,E00677,9ee2b9fa-d330-4fe6-b90d-533724b95fb9,13/04/2018,
1,31/05/2018,E00265,68b77746-3124-4043-b191-3466ff57f781,09/05/2018,
1,30/06/2018,E00555,3ffe5abe-8b42-4c82-8464-ed8159f68dcc,22/04/2018,
1,30/06/2018,E00143,e062c7aa-159e-4caa-be7e-e63b283ad489,24/04/2018,
1,30/06/2018,E01024,a129f770-ea7e-47aa-b561-818a9331883b,26/04/2018,
1,30/06/2018,E00939,f799ab3c-7b3b-458f-bc62-d24f4269b967,13/04/2018,
