userID,timestamp,location,content_type,duration,Avg_Price
2,22/01/2021 14:52:25,Essex,Preserved,196,14.98
3,23/04/2021 22:22:03,Plymouth,Secondary,129,14.98
2,02/12/2020 10:14:11,Manchester,Preserved,249,14.98
3,03/01/2021 14:01:42,Essex,Preserved,141,14.98
3,21/12/2020 21:57:52,Essex,Preserved,176,14.98
2,28/12/2020 09:27:10,Cornwall,Secondary,154,16.83
2,22/01/2021 14:50:07,Essex,Preserved,195,14.98
3,07/01/2021 16:36:02,Essex,Preserved,135,14.98
3,23/09/2020 14:23:38,Manchester,Preserved,175,14.98
3,22/09/2020 20:42:29,Manchester,Preserved,138,14.98
3,22/01/2021 17:11:55,Newcastle,Secondary,171,16.18
3,23/09/2020 14:41:49,Manchester,Preserved,162,14.98
3,03/01/2021 13:48:42,Essex,Preserved,154,14.98
2,04/12/2020 06:05:42,Nottingham,Preserved,202,14.98
3,24/09/2020 16:16:38,Manchester,Preserved,165,14.98
2,23/12/2020 13:48:47,Cornwall,Secondary,192,16.83
3,26/12/2020 14:41:19,Nottingham,Preserved,380,14.98
3,20/12/2020 17:10:45,Manchester,Preserved,121,14.98
3,03/01/2021 16:30:00,Essex,Preserved,175,14.98
3,23/09/2020 15:46:19,Manchester,Preserved,221,14.98
2,15/07/2021 20:33:51,Plymouth,Secondary,216,18.58
2,19/12/2020 10:57:16,Cornwall,Secondary,263,16.83
3,25/09/2020 20:20:01,Manchester,Preserved,206,14.98
3,26/09/2020 18:35:13,Manchester,Preserved,368,14.98
3,20/12/2020 16:32:30,Manchester,Preserved,246,14.98
3,21/09/2020 19:28:55,Manchester,Preserved,191,14.98
3,03/01/2021 17:14:02,Essex,Preserved,262,14.98
3,19/12/2020 13:10:02,Manchester,Preserved,181,14.98
3,21/12/2020 19:55:19,Manchester,Preserved,139,14.98
3,21/09/2020 14:46:37,Manchester,Preserved,147,14.98
3,23/04/2021 22:11:27,Plymouth,Secondary,187,14.98
2,04/01/2021 05:32:24,Cornwall,Secondary,243,16.83
2,27/12/2020 07:54:09,Cornwall,Secondary,145,16.83
3,07/01/2021 17:21:35,Essex,Preserved,188,14.98
2,16/07/2021 06:33:33,Perth,Preserved,207,14.98
3,26/09/2020 18:51:47,Manchester,Preserved,201,14.98
3,24/09/2020 15:15:42,Manchester,Preserved,141,14.98
3,11/10/2020 21:54:59,Manchester,Preserved,113,14.98
3,07/01/2021 18:46:04,Essex,Preserved,202,14.98
3,19/12/2020 14:13:28,Cornwall,Secondary,167,16.83
3,05/01/2021 22:31:00,Essex,Preserved,133,14.98
3,24/09/2020 14:30:09,Manchester,Preserved,221,14.98
3,19/12/2020 16:29:17,Cornwall,Secondary,132,16.83
2,04/02/2021 12:09:31,Plymouth,Secondary,171,18.58
3,25/09/2021 18:18:49,Norfolk,Secondary,226,18.4
3,19/12/2020 14:37:05,Cornwall,Secondary,223,16.83
3,23/09/2020 16:08:52,Manchester,Preserved,112,14.98
2,16/07/2021 19:25:33,Plymouth,Secondary,243,18.58
3,26/09/2020 18:45:28,Manchester,Preserved,185,14.98
3,23/04/2021 22:49:14,Plymouth,Secondary,147,14.98
3,23/04/2021 21:48:55,Plymouth,Secondary,224,14.98
3,30/12/2020 22:54:35,Manchester,Preserved,157,14.98
3,22/12/2020 20:30:31,Manchester,Preserved,208,14.98
2,04/02/2021 05:39:46,Plymouth,Secondary,231,18.58
3,22/09/2020 21:53:37,Manchester,Preserved,204,14.98
2,20/12/2020 08:41:56,Cornwall,Secondary,221,16.83
3,22/12/2020 20:13:03,Manchester,Preserved,181,14.98
3,25/12/2020 14:04:58,Manchester,Preserved,191,14.98
3,22/12/2020 20:09:43,Manchester,Preserved,180,14.98
2,26/01/2021 11:03:04,Cornwall,Secondary,313,16.83
2,06/02/2021 14:27:36,Plymouth,Secondary,198,18.58
2,04/02/2021 05:19:08,Plymouth,Secondary,255,18.58
3,30/12/2020 23:22:14,Manchester,Preserved,239,14.98
3,28/11/2020 16:51:05,Manchester,Preserved,123,14.98
2,27/01/2021 07:34:18,Essex,Preserved,222,14.98
2,09/02/2021 13:26:58,Plymouth,Secondary,302,18.58
2,05/02/2021 16:29:20,Plymouth,Secondary,276,18.58
3,25/09/2021 18:24:29,Norfolk,Secondary,183,18.4
3,21/11/2020 21:39:45,Nottingham,Preserved,200,14.98
3,21/09/2020 16:06:17,Manchester,Preserved,177,14.98
3,28/11/2020 16:22:09,Manchester,Preserved,178,14.98
3,21/12/2020 22:10:22,Essex,Preserved,112,14.98
3,21/11/2020 21:41:43,Nottingham,Preserved,148,14.98
3,20/09/2020 13:03:18,Manchester,Preserved,94,14.98
3,21/09/2020 16:05:20,Manchester,Preserved,150,14.98
3,04/01/2021 15:41:53,Essex,Preserved,226,14.98
2,21/08/2020 19:20:22,Essex,Preserved,264,14.98
3,24/09/2020 14:31:10,Manchester,Preserved,200,14.98
3,26/12/2020 15:48:37,Nottingham,Preserved,86,14.98
3,03/01/2021 15:51:38,Essex,Preserved,151,14.98
3,23/09/2020 20:02:53,Manchester,Preserved,95,14.98
2,30/08/2020 16:17:46,Perth,Preserved,285,14.98
3,04/01/2021 16:31:36,Essex,Preserved,224,14.98
3,07/01/2021 18:47:25,Essex,Preserved,274,14.98
2,23/09/2020 10:49:16,Perth,Preserved,184,14.98
2,08/02/2021 10:20:00,Plymouth,Secondary,265,18.58
2,20/12/2020 09:58:42,Cornwall,Secondary,162,16.83
2,25/01/2021 09:39:49,Essex,Preserved,184,14.98
2,27/01/2021 12:03:24,Perth,Preserved,318,14.98
3,23/09/2020 16:10:09,Manchester,Preserved,207,14.98
3,04/01/2021 16:30:41,Essex,Preserved,154,14.98
2,16/07/2021 06:28:28,Perth,Preserved,204,14.98
3,21/11/2020 22:54:25,Nottingham,Preserved,241,14.98
2,23/12/2020 13:51:10,Cornwall,Secondary,159,16.83
3,30/12/2020 23:23:10,Manchester,Preserved,221,14.98
2,25/09/2020 11:28:44,Essex,Preserved,258,14.98
3,21/12/2020 20:24:52,Manchester,Preserved,143,14.98
3,23/09/2020 20:05:17,Manchester,Preserved,223,14.98
3,21/09/2020 20:42:27,Manchester,Preserved,200,14.98
3,24/09/2020 16:16:48,Manchester,Preserved,153,14.98
2,19/12/2020 14:00:20,Cornwall,Secondary,197,16.83
2,05/02/2021 05:42:12,Plymouth,Secondary,158,18.58
2,21/08/2020 19:32:33,Essex,Preserved,255,14.98
3,19/12/2020 11:38:40,Manchester,Preserved,150,14.98
3,23/09/2020 15:41:27,Manchester,Preserved,186,14.98
3,05/01/2021 21:22:46,Essex,Preserved,269,14.98
3,07/01/2021 18:25:05,Essex,Preserved,144,14.98
2,22/01/2021 14:29:24,Essex,Preserved,195,14.98
3,05/01/2021 21:44:55,Essex,Preserved,137,14.98
2,19/12/2020 14:08:19,Cornwall,Secondary,191,16.83
2,04/02/2021 05:12:12,Plymouth,Secondary,274,18.58
3,25/09/2020 21:30:23,Manchester,Preserved,140,14.98
3,19/12/2020 17:05:02,Cornwall,Secondary,214,16.83
3,20/09/2020 12:24:00,Kent,Secondary,204,15.6
2,21/08/2020 19:17:17,Essex,Preserved,226,14.98
3,22/09/2020 20:29:50,Manchester,Preserved,130,14.98
3,19/12/2020 14:05:11,Cornwall,Secondary,147,16.83
3,05/01/2021 22:36:07,Essex,Preserved,196,14.98
2,16/07/2021 19:18:13,Plymouth,Secondary,262,18.58
2,04/02/2021 07:30:29,Plymouth,Secondary,165,18.58
3,20/09/2020 11:26:22,Manchester,Preserved,214,14.98
3,22/01/2021 17:43:40,Newcastle,Secondary,216,16.18
2,17/10/2020 08:43:02,Bristol,Secondary,248,19.06
2,05/02/2021 10:33:38,Plymouth,Secondary,211,18.58
3,24/09/2020 13:43:10,Manchester,Preserved,177,14.98
2,04/02/2021 07:23:23,Plymouth,Secondary,169,18.58
2,08/11/2020 12:09:18,Glasgow,Preserved,232,14.98
3,19/12/2020 12:05:47,Manchester,Preserved,236,14.98
