Sale Date,Order ID,Sale Value,Product Name,Store Name,Region,Scent Name
12/12/2022 00:00:00,937,109.84,Liquid - 25ml,Lewisham,East,Rose
14/10/2022 00:00:00,427,207.61,Liquid - 25ml,Lewisham,East,Rose
09/09/2022 00:00:00,135,111.96,Liquid - 25ml,Lewisham,East,Rose
11/12/2022 00:00:00,791,170.68,Liquid - 25ml,Wimbledon,West,Rose
08/09/2022 00:00:00,270,214.12,Liquid - 25ml,Wimbledon,West,Rose
18/01/2022 00:00:00,726,29.55,Liquid - 25ml,Dulwich,East,Rose
29/05/2022 00:00:00,692,194.32,Liquid - 25ml,Dulwich,East,Rose
08/12/2022 00:00:00,672,160.45,Liquid - 25ml,Dulwich,East,Rose
14/01/2022 00:00:00,551,125.41,Liquid - 25ml,Dulwich,East,Rose
02/08/2022 00:00:00,516,60.75,Liquid - 25ml,Dulwich,East,Rose
10/03/2022 00:00:00,384,79.68,Liquid - 25ml,Dulwich,East,Rose
09/08/2022 00:00:00,210,262.37,Liquid - 25ml,Dulwich,East,Rose
27/11/2022 00:00:00,140,23.26,Liquid - 25ml,Dulwich,East,Rose
22/05/2022 00:00:00,40,124.85,Liquid - 25ml,Dulwich,East,Rose
24/04/2022 00:00:00,816,34.14,Liquid - 25ml,Chelsea,West,Rose
13/02/2022 00:00:00,567,130.79,Liquid - 25ml,Chelsea,West,Rose
04/03/2022 00:00:00,523,157.31,Liquid - 25ml,Chelsea,West,Rose
27/04/2022 00:00:00,18,45.52,Liquid - 25ml,Chelsea,West,Rose
30/12/2022 00:00:00,870,81.75,Liquid - 25ml,Shoreditch,East,Rose
07/07/2022 00:00:00,735,231.85,Liquid - 25ml,Shoreditch,East,Rose
10/06/2022 00:00:00,600,265.07,Liquid - 25ml,Shoreditch,East,Rose
06/07/2022 00:00:00,493,152.78,Liquid - 25ml,Shoreditch,East,Rose
25/06/2022 00:00:00,378,179.29,Liquid - 25ml,Shoreditch,East,Rose
12/04/2022 00:00:00,375,201.87,Liquid - 25ml,Shoreditch,East,Rose
12/04/2022 00:00:00,375,201.87,Liquid - 25ml,Shoreditch,East,Rose
16/08/2022 00:00:00,265,298.55,Liquid - 25ml,Shoreditch,East,Rose
17/08/2022 00:00:00,234,234.56,Liquid - 25ml,Shoreditch,East,Rose
18/07/2022 00:00:00,930,213.65,Liquid - 25ml,Notting Hill,West,Rose
30/03/2022 00:00:00,580,289.62,Liquid - 25ml,Notting Hill,West,Rose
24/07/2022 00:00:00,477,12.88,Liquid - 25ml,Notting Hill,West,Rose
07/07/2022 00:00:00,253,238.62,Liquid - 25ml,Notting Hill,West,Rose
09/07/2022 00:00:00,687,153.49,Liquid - 25ml,Lewisham,East,Banana
29/01/2022 00:00:00,590,90.4,Liquid - 25ml,Lewisham,East,Banana
27/09/2022 00:00:00,545,43.51,Liquid - 25ml,Lewisham,East,Banana
04/01/2022 00:00:00,531,61.5,Liquid - 25ml,Lewisham,East,Banana
16/01/2022 00:00:00,456,7.26,Liquid - 25ml,Lewisham,East,Banana
