candidate_id,position_id,status,ts,filename
36,1,Profile Created,2021-01-12 11:54:45.000,status_history_2021-01-13_03-12-00.csv
45,1,Profile Created,2021-01-12 12:16:51.000,status_history_2021-01-13_03-12-00.csv
162,2,Profile Created,2021-01-12 12:25:14.000,status_history_2021-01-13_03-12-00.csv
138,1,Profile Created,2021-01-13 12:03:49.000,status_history_2021-01-14_03-09-00.csv
74,1,Profile Created,2021-01-14 12:39:06.000,status_history_2021-01-15_03-02-00.csv
195,2,Profile Created,2021-01-15 12:47:12.000,status_history_2021-01-16_03-11-00.csv
5,2,Profile Created,2021-01-19 11:56:13.000,status_history_2021-01-20_03-17-00.csv
90,2,Profile Created,2021-01-19 11:56:24.000,status_history_2021-01-20_03-17-00.csv
140,2,Profile Created,2021-01-20 12:14:51.000,status_history_2021-01-21_03-07-00.csv
39,1,Profile Created,2021-01-22 11:16:57.000,workflow-file-Saturday-2021-01-23_03-01-00.csv
90,1,Profile Created,2021-01-22 11:32:08.000,workflow-file-Saturday-2021-01-23_03-01-00.csv
185,1,Profile Created,2021-01-22 11:57:05.000,workflow-file-Saturday-2021-01-23_03-01-00.csv
35,2,Profile Created,2021-01-23 12:24:37.000,status_history_2021-01-24_03-10-00.csv
29,1,Profile Created,2021-01-24 11:48:31.000,status_history_2021-01-25_03-06-00.csv
59,2,Profile Created,2021-01-30 12:20:04.000,status_history_2021-01-31_03-01-00.csv
128,2,Profile Created,2021-01-30 12:22:07.000,status_history_2021-01-31_03-01-00.csv
153,2,Profile Created,2021-02-01 11:40:02.000,status_history_2021-02-02_03-11-00.csv
173,2,Profile Created,2021-02-01 12:29:42.000,status_history_2021-02-02_03-11-00.csv
193,2,Profile Created,2021-02-02 12:01:48.000,workflow-file-Wednesday-2021-02-03_03-08-00.csv
173,2,Profile Created,2021-02-01 12:29:42.000,status_history_2021-02-04_03-02-00.csv
173,2,Application Completed,2021-02-03 11:05:23.000,status_history_2021-02-04_03-02-00.csv
177,2,Application Completed,2021-02-03 11:34:56.000,status_history_2021-02-04_03-02-00.csv
177,2,Profile Created,2021-02-03 12:08:30.000,status_history_2021-02-04_03-02-00.csv
75,1,Profile Created,2021-02-03 11:42:11.000,status_history_2021-02-04_03-02-00.csv
59,2,Profile Created,2021-01-30 12:20:04.000,status_history_2021-02-04_03-02-00.csv
59,2,Application Completed,2021-02-03 12:48:44.000,status_history_2021-02-04_03-02-00.csv
35,2,Profile Created,2021-01-23 12:24:37.000,status_history_2021-02-05_03-17-00.csv
35,2,Application Completed,2021-02-04 12:02:54.000,status_history_2021-02-05_03-17-00.csv
54,1,Profile Created,2021-02-04 12:12:55.000,status_history_2021-02-05_03-17-00.csv
24,1,Profile Created,2021-02-05 11:48:38.000,status_history_2021-02-06_03-13-00.csv
162,2,Profile Created,2021-01-12 12:25:14.000,status_history_2021-02-06_03-13-00.csv
162,2,Application Completed,2021-02-05 12:12:59.000,status_history_2021-02-06_03-13-00.csv
