Season,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
2015-16,Rolando Aarons ,Midfielder,10,,,13,77%,,0,6,10,5,,23,29,34,5,4,6,,1,1,119,11.9,1,12,25%,0,7,1,0,9,0,1,0,0,1,0,0.1,0,0,2,1,50%,0,,,,,,,,
2015-16,Almen Abdi ,Midfielder,32,,,83,78%,,10,32,24,9,,137,140,153,12,22,31,,0,0,938,29.31,4,55,31%,2,36,4,0,38,1,2,0,2,0,1,0.06,0,1,39,10,26%,1,,,,,,,,
2015-16,Abdul Rahman Baba ,Defender,15,2,13,47,83%,0,1,23,32,13,1,76,67,65,8,8,13,0,1,1,526,35.07,0,31,16%,0,18,1,0,14,2,0,0,0,0,0,,,,,,,,,,,,,,,
2015-16,Mehdi Abeid ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,,
2015-16,Tammy Abraham ,Forward,2,,,0,,,1,0,0,0,,,,,,,,,,0,10,5,0,2,,,,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0%,0,,,,,,,,
2015-16,Charlie Adam ,Midfielder,22,,,18,78%,,9,12,14,10,,73,68,76,10,17,10,,0,1,546,24.82,1,40,30%,1,68,6,1,30,0,1,0,1,0,0,0.05,0,0,29,4,14%,0,,,,,,,,
2015-16,Emmanuel Adebayor ,Forward,12,,,2,,,2,1,7,4,,,,,,,,,,1,230,19.17,0,6,,,,1,0,10,11,1,1,0,0,1,0.08,0,0,12,4,33%,2,,,,,,,,
2015-16,Adrián ,Goalkeeper,32,9,39,,,,,,,,,,,,,,,0,2,0,853,26.66,,,,,275,1,1,1,,0,,,,,,,,,,,,99,2,19,40,11,31,155,288
2015-16,Ibrahim Afellay ,Midfielder,31,,,27,81%,,10,11,12,5,,162,117,110,41,14,16,,0,2,"1,274",41.1,3,68,16%,3,68,3,1,19,2,2,1,1,0,0,0.06,0,0,39,8,21%,1,,,,,,,,
2015-16,Benik Afobe ,Forward,15,,,5,,,2,2,9,6,,,,,,,,,,0,224,14.93,0,4,,,,0,0,15,9,4,3,1,0,0,0.27,0,0,14,5,36%,4,,,,,,,,
2015-16,Gabriel Agbonlahor ,Forward,15,,,6,,,2,2,9,1,,,,,,,,,,2,223,14.87,2,12,,,,0,0,21,3,1,0,0,1,0,0.07,0,0,10,6,60%,1,,,,,,,,
2015-16,Sergio Agüero ,Forward,30,,,15,,,26,6,0,0,,,,,,,,,,2,727,24.23,5,20,,,,1,0,20,27,24,5,16,3,4,0.8,4,0,119,52,44%,16,,,,,,,,
2015-16,Nathan Aké ,Defender,24,7,24,79,67%,0,3,76,72,26,1,80,135,73,10,34,25,0,0,0,609,25.38,1,42,12%,0,30,4,1,28,0,1,0,0,1,1,,,,,,,,,,,,,,,
2015-16,Chuba Akpom ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,,
2015-16,Alberto Moreno ,Defender,32,6,36,92,75%,1,13,63,48,9,0,138,143,122,16,14,15,0,0,4,"1,323",41.34,3,138,26%,1,85,3,0,29,6,1,0,0,1,1,,,,,,,,,,,,,,,
2015-16,Marc Albrighton ,Midfielder,38,,,65,83%,,14,49,19,4,,214,154,172,51,11,38,,0,6,912,24,11,272,19%,4,57,4,0,21,3,2,0,1,1,1,0.05,0,0,42,11,26%,2,,,,,,,,
2015-16,Toby Alderweireld ,Defender,38,13,35,45,71%,0,8,66,285,125,1,161,116,74,7,59,39,0,0,2,"2,076",54.63,1,16,13%,2,238,3,0,9,1,4,3,0,1,0,,,,,,,,,,,,,,,
