CreatedDate,Id,IsDeleted,AccountId,IsPrivate,Name,Amount,Probability,ExpectedRevenue,TotalOpportunityQuantity,CloseDate,Type,NextStep,LeadSource,IsClosed,IsWon,ForecastCategory,ForecastCategoryName,CampaignId,HasOpportunityLineItem,Pricebook2Id,OwnerId,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,PushCount,LastStageChangeDate,FiscalQuarter,FiscalYear,Fiscal,ContactId,LastViewedDate,LastReferencedDate,HasOpenActivity,HasOverdueTask,LastAmountChangedHistoryId,LastCloseDateChangedHistoryId,DeliveryInstallationStatus__c,TrackingNumber__c,OrderNumber__c,CurrentGenerators__c,MainCompetitors__c,StageName
14/03/2022,0068d000002OrZqAAK,FALSE,0018d000007K0NXAA0,FALSE,seize dot-com e-services,454160,50,227080,706,24/03/2022,,,,FALSE,FALSE,Pipeline,Pipeline,,TRUE,01s8d00000325vsAAA,0058d000002C3D2AAK,0058d000002C2lpAAC,02/03/2022 16:11,0058d000002C2lpAAC,02/03/2022 16:11,,0,,1,2022,2022 1,,,,FALSE,FALSE,0088d000009OWe8AAG,,,,,,,Closed Lost
01/05/2022,0068d000002OrZrAAK,FALSE,0018d000007K0PdAAK,FALSE,extend virtual experiences,493470,10,49347,737,11/05/2022,,,,FALSE,FALSE,Pipeline,Pipeline,,TRUE,01s8d00000325vsAAA,0058d000002C3CyAAK,0058d000002C2lpAAC,02/03/2022 16:11,0058d000002C2lpAAC,02/03/2022 16:11,,0,,2,2022,2022 2,,,,FALSE,FALSE,0088d000009OWdAAAW,,,,,,,Closed Won
03/03/2022,0068d000002OrZsAAK,FALSE,0018d000007K0OaAAK,FALSE,revolutionize world-class platforms,625850,10,62585,699,06/12/2022,,,,FALSE,FALSE,Pipeline,Pipeline,,TRUE,01s8d00000325vsAAA,0058d000002C3CyAAK,0058d000002C2lpAAC,02/03/2022 16:11,0058d000002C2lpAAC,02/03/2022 16:11,,0,,4,2022,2022 4,,,,FALSE,FALSE,0088d000009OWdBAAW,,,,,,,Negotiation/Review
15/03/2022,0068d000002OrZtAAK,FALSE,0018d000007K0OcAAK,FALSE,utilize end-to-end vortals,826630,60,495978,1080,25/03/2022,,,,FALSE,FALSE,Pipeline,Pipeline,,TRUE,01s8d00000325vsAAA,0058d000002C3D7AAK,0058d000002C2lpAAC,02/03/2022 16:11,0058d000002C2lpAAC,02/03/2022 16:11,,0,,1,2022,2022 1,,,,FALSE,FALSE,0088d000009OWauAAG,,,,,,,Closed Lost
01/03/2022,0068d000002OrZuAAK,FALSE,0018d000007K0OVAA0,FALSE,disintermediate extensible platforms,679000,20,135800,908,20/08/2022,,,,FALSE,FALSE,Pipeline,Pipeline,,TRUE,01s8d00000325vsAAA,0058d000002C3DAAA0,0058d000002C2lpAAC,02/03/2022 16:11,0058d000002C2lpAAC,02/03/2022 16:11,,0,,3,2022,2022 3,,,,FALSE,FALSE,0088d000009OWdCAAW,,,,,,,Qualification
27/02/2022,0068d000002OrZvAAK,FALSE,0018d000007K0OYAA0,FALSE,orchestrate ubiquitous vortals,439540,75,329655,726,18/03/2022,,,,FALSE,FALSE,Pipeline,Pipeline,,TRUE,01s8d00000325vsAAA,0058d000002C3DEAA0,0058d000002C2lpAAC,02/03/2022 16:11,0058d000002C2lpAAC,02/03/2022 16:11,,0,,1,2022,2022 1,,,,FALSE,FALSE,0088d000009OWehAAG,,,,,,,Prospecting
04/06/2022,0068d000002OrZwAAK,FALSE,0018d000007K0P0AAK,FALSE,utilize seamless web services,441500,10,44150,444,05/07/2022,,,,FALSE,FALSE,Pipeline,Pipeline,,TRUE,01s8d00000325vsAAA,0058d000002C3D3AAK,0058d000002C2lpAAC,02/03/2022 16:11,0058d000002C2lpAAC,02/03/2022 16:11,,0,,3,2022,2022 3,,,,FALSE,FALSE,0088d000009OWavAAG,,,,,,,Closed Won
25/02/2022,0068d000002OrZxAAK,FALSE,0018d000007WiGUAA0,FALSE,reinvent global e-commerce,597640,90,537876,627,25/09/2022,,,,FALSE,FALSE,Pipeline,Pipeline,,TRUE,01s8d00000325vsAAA,0058d000002C3CzAAK,0058d000002C2lpAAC,02/03/2022 16:11,0058d000002C2lpAAC,02/03/2022 16:11,,0,,3,2022,2022 3,,,,FALSE,FALSE,0088d000009OWawAAG,,,,,,,Negotiation/Review
23/04/2022,0068d000002OrZyAAK,FALSE,0018d000007K0OdAAK,FALSE,incubate one-to-one functionalities,387870,75,290902.5,476,18/09/2022,,,,FALSE,FALSE,Pipeline,Pipeline,,TRUE,01s8d00000325vsAAA,0058d000002X3YiAAK,0058d000002C2lpAAC,02/03/2022 16:11,0058d000002C2lpAAC,02/03/2022 16:11,,0,,3,2022,2022 3,,,,FALSE,FALSE,0088d000009OWdDAAW,,,,,,,Negotiation/Review
05/03/2022,0068d000002OrZzAAK,FALSE,0018d000007K0OBAA0,FALSE,streamline scalable experiences,84000,20,16800,50,15/03/2022,,,,FALSE,FALSE,Pipeline,Pipeline,,TRUE,01s8d00000325vsAAA,0058d000002C3DFAA0,0058d000002C2lpAAC,02/03/2022 16:11,0058d000002C2lpAAC,02/03/2022 16:11,,0,,1,2022,2022 1,,,,FALSE,FALSE,0088d000009OWe9AAG,,,,,,,Closed Won
